Array Design Name	Affymetrix GeneChip Human Genome U95D [HG_U95D]
Comment[AdditionalFile:CDF]	HG_U95D.CDF
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-12
Comment[SubmittedName]	Affymetrix GeneChip Human Genome U95D [HG_U95D]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	#in_situ_oligo_features
Technology Type Term Source REF	The MGED Ontology
Surface Type	unknown_surface_type
Term Source Name	The MGED Ontology	affymetrix_netaffx	blocks	cp450	ec	embl	ensembl	entrez_protein	gpcrdb	interpro	kegg	locus	mgd	omim	pfam	pkr_hanks	refseq	scop	swall	unigene
73603_at	73603_at	AI360092					73603_at							Hs.370254						
73605_f_at	73605_f_at	AI831315					73605_f_at							Hs.413607						
73607_f_at	73607_f_at	AI474003					73607_f_at													
73609_i_at	73609_i_at	AI524700					73609_i_at							Hs.231512						
73612_at	73612_at	AI201776	BAA34485		NM_152929	rrm	73612_at		8904	IPR003955	IPB000885		4503013	Hs.166887		604205				
73614_at	73614_at	AI561109					73614_at													
73616_at	73616_at	AA528641					73616_at							Hs.291080						
73618_at	73618_at	AI682259					73618_at							Hs.231535						
73620_at	73620_at	AI797088					73620_at													
73622_at	73622_at	AA527930					73622_at							Hs.404481						
73624_r_at	73624_r_at	AI809122					73624_r_at													
73626_f_at	73626_f_at	AA582528					73626_f_at							Hs.251099						
73628_r_at	73628_r_at	AA582528					73628_r_at							Hs.251099						
73630_at	73630_at	AI671210					73630_at													
73633_at	73633_at	AI939528	P10398	d1rrb__	NM_001654	pkinase	rc_AI227665_s_at		369	IPR004040	IPB003605	2.7.1	4502193	Hs.77183	ENSG00000078061	311010			Araf	
73635_at	73635_at	AI640367					73635_at													
73637_f_at	73637_f_at	AA583931	Q9Y365		NM_006645	START	Z31174_s_at		10809	IPR002913			9910482	Hs.84700	ENSG00000172829					
73639_i_at	73639_i_at	F11975	Q9H4B0		NM_022353	Peptidase_M22	1435127_a_at		64172	IPR000905	IPB000905	3.4.24.57	15080282	Hs.130558	ENSG00000128694					
73641_at	73641_at	AI420597	Q9H4B0		NM_022353	Peptidase_M22	73641_at		64172	IPR000905	IPB000905	3.4.24.57	15080282	Hs.130558	ENSG00000128694					
73643_at	73643_at	AA916556					73643_at													
73645_at	73645_at	AA725634					73645_at							Hs.252930						
73647_f_at	73647_f_at	AI311783					73647_f_at													
73649_at	73649_at	AI500342					73649_at							Hs.231615						
73651_f_at	73651_f_at	H95120					73651_f_at							Hs.231616						
73654_f_at	73654_f_at	AI742633					73654_f_at													
73656_r_at	73656_r_at	AI719644					73656_r_at							Hs.231625						
73659_at	73659_at	AA001244	Q9HCI6				73659_at		57691					Hs.180663	ENSG00000168116					
73661_s_at	73661_s_at	AA781443	Q8WWE9				73661_s_at							Hs.351932						
73663_r_at	73663_r_at	AA781443	Q8WWE9				73663_r_at							Hs.351932						
73665_r_at	73665_r_at	AI289597					73665_r_at													
73667_at	73667_at	AA628425	Q96HU5	d1gcqa_	NM_145064	DAG_PE-bind	73667_at		246329	IPR001452			21450838	Hs.281648						
73669_at	73669_at	AA195851	Q9NUQ8		NM_018358	ABC_tran	73669_at		55324	IPR003593	IPB001140		8922936	Hs.91251	ENSG00000161204					
73672_at	73672_at	AI884648	Q9BUW7		NM_024112	UPF0184	96709_at		79095	IPR005374			20137739	Hs.95867						
73674_r_at	73674_r_at	AI671792	Q14833	d1ewka_	NM_000841	ANF_receptor	M90518_at		2914	IPR000337	PR01535		4504141	Hs.178078	ENSG00000124493	604100				
73676_at	73676_at	AA725008					73676_at							Hs.231693						
73677_at	73677_at	AA400032					73677_at													
73679_at	73679_at	AA412518					73679_at							Hs.404094						
73681_at	73681_at	AI924948					73681_at													
73683_f_at	73683_f_at	AA286854					73683_f_at													
73685_r_at	73685_r_at	AA286854					73685_r_at													
73687_at	73687_at	AI432210	AAH35076				73687_at		114825	IPR002965				Hs.300776						
73690_at	73690_at	AI024589					73690_at							Hs.356677						
73692_at	73692_at	AA503835					73692_at							Hs.426360						
73694_at	73694_at	N23653					73694_at							Hs.388011						
73696_at	73696_at	AA487605					73696_at													
73698_at	73698_at	AA572812					73698_at							Hs.430390						
73700_at	73700_at	AI471474					73700_at													
73702_at	73702_at	AA601441					73702_at							Hs.231756						
73704_at	73704_at	M85580					73704_at													
73706_at	73706_at	AA678044					73706_at													
73708_at	73708_at	AA651639					73708_at													
73711_at	73711_at	AI761952					73711_at							Hs.130730						
73712_at	73712_at	AI871498					73712_at							Hs.231774						
73714_at	73714_at	AA005319	Q96HQ8				73714_at							Hs.252433						
73717_i_at	73717_i_at	AI041037					73717_i_at							Hs.231803						
73720_f_at	73720_f_at	AI041037					73720_f_at							Hs.231803						
73722_at	73722_at	AA865150					73722_at													
73723_at	73723_at	AI522154					73723_at													
73725_at	73725_at	AI991175					73725_at							Hs.231815						
73727_at	73727_at	AI982849					73727_at							Hs.181400						
73729_at	73729_at	AI972866					73729_at													
73731_r_at	73731_r_at	AI972282					73731_r_at							Hs.231822						
73733_at	73733_at	AA670435					73733_at							Hs.421648						
73736_r_at	73736_r_at	AW025935					73736_r_at							Hs.231829						
73738_i_at	73738_i_at	AA984815	Q9P284				73738_i_at		57595	IPR001478				Hs.92732						
73740_r_at	73740_r_at	AA984815	Q9P284				73740_r_at		57595	IPR001478				Hs.92732						
73742_at	73742_at	AW016175					73742_at							Hs.231832						
73744_at	73744_at	AI038976					73744_at							Hs.370450						
73747_at	73747_at	AI139405	Q9Y2H0		NM_014902	GKAP	U67140_at		22839	IPR005026			7662412	Hs.177425	ENSG00000080845					
73749_at	73749_at	AI989906	Q9UDW3		NM_019103	zf-CCCH	73749_at		55954	IPR000571	IPB000571		9506863	Hs.38628	ENSG00000100319					
73751_at	73751_at	AW003355					73751_at							Hs.231838						
73753_at	73753_at	AW005194					73753_at													
73755_at	73755_at	AI346280					73755_at							Hs.202183						
73758_at	73758_at	AW007327					73758_at							Hs.290334						
73760_at	73760_at	AI421251	Q9C0A8				73760_at		85449	IPR001251				Hs.114085	ENSG00000149633					
73762_at	73762_at	AI493128					73762_at							Hs.231850						
73764_at	73764_at	AW000969	Q96IR3		NM_032757		73764_at		84843				14249396	Hs.231851	ENSG00000138956					
73766_at	73766_at	AW005548					73766_at							Hs.231852						
73768_r_at	73768_r_at	AW014347					73768_r_at							Hs.412082						
73771_at	73771_at	AI632232	P54819	d1e4ya1	NM_172199	adenylatekinase	73771_at		204	IPR000850	IPB000623	2.7.4.3	7524346	Hs.294008		103020	MAP00230			
73774_at	73774_at	AI990032					73774_at							Hs.231857						
73775_i_at	73775_i_at	AI652715					73775_i_at							Hs.270811						
73777_f_at	73777_f_at	AI652715					73777_f_at							Hs.270811						
73779_at	73779_at	AI969727					73779_at							Hs.231859						
73781_at	73781_at	AI669763					73781_at							Hs.370382						
73783_at	73783_at	AI681945					73783_at							Hs.231861						
73785_at	73785_at	AI695949					73785_at							Hs.231863						
73787_at	73787_at	AW002893					73787_at							Hs.370424						
73791_at	73791_at	AI696047					73791_at							Hs.432868						
73792_at	73792_at	AI762582					73792_at							Hs.370473						
73795_at	73795_at	AW003496					73795_at							Hs.231868						
73797_at	73797_at	AI972524					73797_at							Hs.370367						
73799_i_at	73799_i_at	AI857655					73799_i_at							Hs.370497						
73802_r_at	73802_r_at	AI857655					73802_r_at							Hs.370497						
73803_at	73803_at	AI889725					73803_at							Hs.241175						
73805_f_at	73805_f_at	AI933065					73805_f_at							Hs.405793						
73808_f_at	73808_f_at	AW003578					73808_f_at							Hs.405793						
73810_at	73810_at	AI934415					73810_at							Hs.231873						
73811_at	73811_at	AI972618					73811_at							Hs.370369						
73813_at	73813_at	AW005197					73813_at							Hs.370437						
73815_at	73815_at	AI990494					73815_at							Hs.271830						
73816_at	73816_at	AW015805					73816_at							Hs.287864						
73818_i_at	73818_i_at	AW008171					73818_i_at							Hs.414697						
73821_r_at	73821_r_at	AW008171					73821_r_at							Hs.414697						
73823_at	73823_at	N62791					73823_at							Hs.231883						
73825_at	73825_at	AA018829					73825_at							Hs.370350						
73827_at	73827_at	AW014463					73827_at							Hs.77542						
73828_at	73828_at	AI989999	Q8NA77				73828_at							Hs.231897						
73831_r_at	73831_r_at	W72880					73831_r_at							Hs.270841						
73833_at	73833_at	AI990201	Q8NEV2	d1fcha_	NM_057175	TPR	aa671586_at		80155	IPR001440			13376640	Hs.125034	ENSG00000164134					
73834_at	73834_at	AW014267					73834_at							Hs.132159						
73836_at	73836_at	AW016127					73836_at							Hs.231906						
73838_r_at	73838_r_at	AI991499					73838_r_at							Hs.231909						
73840_at	73840_at	AA290869					73840_at							Hs.231911						
73842_at	73842_at	AW007586	Q96GR4		NM_032799	zf-DHHC	73842_at		84885	IPR001594	IPB001594		21361910	Hs.133122	ENSG00000160446					
73844_at	73844_at	AA588442	Q8N607	d1b7fa1	NM_052840	rrm	1429790_at		60677	IPR000504	PR00961		24432030	Hs.348342	ENSG00000140488					
73845_at	73845_at	AI990188					73845_at							Hs.433075						
73849_at	73849_at	AI272317					73849_at													
73851_at	73851_at	AW002648					73851_at							Hs.370421						
73853_at	73853_at	AW001716	Q96GB5		NM_024806		1430793_at		79864				13376187	Hs.164705	ENSG00000109944					
73855_at	73855_at	AI990052					73855_at													
73857_r_at	73857_r_at	AI372007					73857_r_at													
73859_at	73859_at	AW008822					73859_at							Hs.246749						
73861_at	73861_at	AI620317					73861_at							Hs.231937						
73863_at	73863_at	AI968445					73863_at							Hs.370347						
73865_r_at	73865_r_at	AI970164					73865_r_at							Hs.125644						
73866_at	73866_at	AW006856					73866_at							Hs.370457						
73867_at	73867_at	AI652924					73867_at							Hs.231942						
73869_at	73869_at	AW003350	Q9BXH3		NM_031422	Sulfotransfer2	1431897_at		83539	IPR005331			13899235	Hs.231943	ENSG00000154080					
73872_at	73872_at	AI656051					73872_at							Hs.333815						
73873_at	73873_at	AI671925					73873_at							Hs.231946						
73875_at	73875_at	AI990189					73875_at													
73878_r_at	73878_r_at	AW002045					73878_r_at													
73880_at	73880_at	AI972312					73880_at							Hs.370365						
73882_at	73882_at	AI692664					73882_at							Hs.231951						
73884_at	73884_at	AI744436					73884_at							Hs.412985						
73886_r_at	73886_r_at	AI763133					73886_r_at							Hs.388741						
73888_r_at	73888_r_at	AI797706					73888_r_at							Hs.345319						
73891_at	73891_at	AL044130					73891_at							Hs.345390						
73893_at	73893_at	AW001264	Q96F04	d1slm_1	NM_032950	Peptidase_M10	73893_at		79148	IPR006025	IPB002870	3.4.24.12	13236530	Hs.231958	ENSG00000129270					
73894_at	73894_at	AI968563					73894_at													
73897_at	73897_at	AI827927	Q96RU8		NM_025195	pkinase	73897_at		10221	IPR002290	IPB000961		14276267	Hs.7837	ENSG00000173334				nim1+	
73898_at	73898_at	AI916954					73898_at							Hs.372608						
73900_at	73900_at	AI973105					73900_at													
73903_at	73903_at	AI935658					73903_at							Hs.231965						
73905_at	73905_at	AI973190	Q9UK95		NM_153348	WD40	73905_at		26259	IPR001810			6063092	Hs.350985						
73907_at	73907_at	AI961027					73907_at							Hs.270765						
73908_at	73908_at	AW024539	O95991	d1gpl_2	NM_015900	lipase	D88666_at		51365	IPR000379	IPB000734	3.1.1.3	20892485	Hs.17752	ENSG00000144837	607460				
73911_at	73911_at	AW020122					73911_at							Hs.231971						
73913_at	73913_at	AW002058					73913_at							Hs.231974						
73915_at	73915_at	H88393					73915_at							Hs.231975						
73917_at	73917_at	AI970167					73917_at							Hs.231978						
73919_at	73919_at	AW022148					73919_at													
73921_at	73921_at	AI983220	Q9H6M3		NM_022918		1452074_at		65084		IPB003397		21312206	Hs.183887	ENSG00000166575					
73923_at	73923_at	AA490468					73923_at							Hs.352297						
73926_at	73926_at	AW003462					73926_at							Hs.231991						
73928_at	73928_at	AA505551					73928_at							Hs.231992						
73930_at	73930_at	AA522884	Q8N319		NM_153246		73930_at		221416				23397534	Hs.231994						
73932_at	73932_at	AA543060					73932_at							Hs.370363						
73934_at	73934_at	AW026750					73934_at							Hs.370501						
73936_at	73936_at	AW016002					73936_at							Hs.232000						
73938_at	73938_at	AA826357					73938_at							Hs.232001						
73940_at	73940_at	AW000895					73940_at							Hs.232004						
73942_at	73942_at	AI986340					73942_at							Hs.370392						
73943_at	73943_at	AW004011	Q9UPQ9				rc_AA893853_at		23112	IPR000504				Hs.117333	ENSG00000100354					
73945_at	73945_at	AA948263					73945_at							Hs.232008						
73947_at	73947_at	AI986440					73947_at							Hs.345359						
73949_at	73949_at	AI207013	Q8N3Q1		NM_152695	zf-C2H2	73949_at		203523	IPR003309			24432095	Hs.28780						
73950_at	73950_at	AI970769					73950_at							Hs.386672						
73953_at	73953_at	AI990756					73953_at							Hs.232014						
73954_at	73954_at	AI970689					73954_at							Hs.351744						
73956_at	73956_at	AI240850	Q8TDA4				73956_at							Hs.420565						
73959_r_at	73959_r_at	AI991143					73959_r_at							Hs.270801						
73961_at	73961_at	AW014599					73961_at													
73963_at	73963_at	AI990796					73963_at							Hs.232019						
73965_s_at	73965_s_at	AI341262	O60673	d1gcxa2	NM_002912	DNA_pol_B	1451960_a_at		5980	IPR006172	IPB002064	2.7.7.7	4506483	Hs.115521	ENSG00000009413	602776				
73966_r_at	73966_r_at	AI341262					73966_r_at							Hs.232021						
73969_at	73969_at	AI341382					73969_at							Hs.220261						
73971_at	73971_at	AI375662					73971_at							Hs.232023						
73973_at	73973_at	AI968009	Q9HAZ2		NM_022114	SET	73973_at		63976	IPR003006	IPB000135		20521962	Hs.302022		605557				
73974_at	73974_at	AW015073	Q96BQ3		NM_138800	zf-C3HC4	73974_at		129868	IPR003879	IPB001293		22042284	Hs.232026	ENSG00000144015					
73976_i_at	73976_i_at	AI984957					73976_i_at							Hs.232027						
73978_r_at	73978_r_at	AI984957					73978_r_at							Hs.232027						
73980_at	73980_at	AW006114	Q9NX76		NM_017801		aa116369_s_at		54918				8923370	Hs.380627						
73982_at	73982_at	AW003829					73982_at							Hs.232029						
73984_r_at	73984_r_at	AW006002	Q9BRB5	d1pme__	NM_006482	pkinase	73984_r_at		8445	IPR002290	IPB000095	2.7.1.38	5922004	Hs.173135	ENSG00000127334	603496			PSK-H2	
73986_at	73986_at	AI971557					73986_at							Hs.232031						
73988_at	73988_at	AW015074					73988_at													
73990_at	73990_at	AI653696					73990_at													
73992_at	73992_at	AI967982					73992_at							Hs.370342						
73994_at	73994_at	AW006204					73994_at													
73997_at	73997_at	AI683819			NM_139320	Neur_chan_memb	73997_at		89832				4502831	Hs.353211						
73999_at	73999_at	AI766978					73999_at							Hs.372707						
74001_at	74001_at	AI983569					74001_at							Hs.232042						
74003_at	74003_at	AI985124					74003_at							Hs.256078						
74005_at	74005_at	AI811354					74005_at							Hs.232044						
74007_at	74007_at	AI826609	Q9H1K0		NM_022340	FYVE	74007_at		64145	IPR000306	IPB003134		23592750	Hs.173002						
74009_at	74009_at	AW007060					74009_at							Hs.370459						
74011_at	74011_at	AW023595					74011_at							Hs.232048						
74013_at	74013_at	AI913523					74013_at							Hs.232049						
74015_at	74015_at	AI972296					74015_at							Hs.232050						
74017_at	74017_at	AI972059					74017_at							Hs.232051						
74020_at	74020_at	AI637642					74020_at							Hs.312690						
74022_at	74022_at	AI968161					74022_at							Hs.232053						
74024_at	74024_at	AI638691					74024_at							Hs.232054						
74026_at	74026_at	AI962469					74026_at							Hs.232057						
74027_at	74027_at	T65971					74027_at													
74029_at	74029_at	AI972579					74029_at							Hs.232059						
74031_g_at	74031_g_at	AI972579					74031_g_at							Hs.232059						
74033_i_at	74033_i_at	T94782					74033_i_at													
74034_at	74034_at	AW002600					74034_at													
74036_at	74036_at	AW015189					74036_at							Hs.255308						
74037_at	74037_at	AW015870					74037_at							Hs.232081						
74039_at	74039_at	AW024320					74039_at													
74041_r_at	74041_r_at	AW015711					74041_r_at													
74043_at	74043_at	AI989497	Q9P2X7		NM_017418		74043_at		50514				8393250	Hs.158035	ENSG00000119475	604767				
74045_at	74045_at	AW008180					74045_at							Hs.236442						
74047_i_at	74047_i_at	AW023188					74047_i_at							Hs.232086						
74049_r_at	74049_r_at	AW023188					74049_r_at							Hs.232086						
74052_at	74052_at	AA055645					74052_at							Hs.370434						
74054_at	74054_at	W26592					74054_at							Hs.232089						
74056_s_at	74056_s_at	AA527469					74056_s_at							Hs.370431						
74057_at	74057_at	AW003559					74057_at							Hs.370431						
74059_at	74059_at	AW006781	Q9NVH0		NM_018199	3_5_exonuclease	74059_at		55218	IPR000345			8922631	Hs.5457	ENSG00000081177					
74061_at	74061_at	AW004829	Q9NXL8		NM_017697	rrm	74061_at		54845	IPR000504			8923167	Hs.24743	ENSG00000104413					
74063_at	74063_at	AJ003325					74063_at							Hs.232103						
74065_at	74065_at	AI986267					74065_at							Hs.376169						
74068_r_at	74068_r_at	AA807424					74068_r_at							Hs.431716						
74070_at	74070_at	AI971907					74070_at													
74072_at	74072_at	AW014517					74072_at													
74075_at	74075_at	AI985134					74075_at							Hs.304650						
74077_at	74077_at	AA888985					74077_at							Hs.232115						
74079_at	74079_at	AW001397					74079_at							Hs.232116						
74081_at	74081_at	AW024615	Q8WUT9		NM_145305	mito_carr	74081_at		203427	IPR002113			21687151	Hs.294799						
74083_at	74083_at	AI968035					74083_at							Hs.370343						
74085_at	74085_at	AW015138					74085_at													
74090_at	74090_at	AI262379					74090_at							Hs.232123						
74092_at	74092_at	AI203297					74092_at							Hs.232124						
74094_i_at	74094_i_at	AI244541					74094_i_at							Hs.370383						
74096_at	74096_at	AW003286	P11388	d1ei1a2	NM_001067	HATPase_c	rc_AI228599_at		7153	IPR003957	PR00615	5.99.1.3	292830	Hs.156346	ENSG00000131747	126430				
74098_at	74098_at	AW013902					74098_at							Hs.232127						
74100_at	74100_at	AI351607					74100_at							Hs.232128						
74101_at	74101_at	AI360228					74101_at							Hs.414659						
74104_at	74104_at	AI379531					74104_at							Hs.232131						
74106_at	74106_at	AW006747					74106_at							Hs.370454						
74108_at	74108_at	AW024155	Q9UKX0	d1fy7a_	NM_012330	PHD	74108_at		23522	IPR005818	IPB001580		6912512	Hs.27590		605880				
74109_at	74109_at	AI521888					74109_at							Hs.370458						
74111_r_at	74111_r_at	AW025583					74111_r_at							Hs.232137						
74113_at	74113_at	AI970143					74113_at							Hs.232138						
74115_at	74115_at	AW014858					74115_at							Hs.72451						
74117_at	74117_at	AI620508					74117_at							Hs.232140						
74119_at	74119_at	AI990142					74119_at							Hs.232142						
74122_at	74122_at	AI991505					74122_at							Hs.232143						
74123_at	74123_at	AI989638					74123_at							Hs.232145						
74125_at	74125_at	AI970357					74125_at							Hs.232148						
74126_at	74126_at	AI692604					74126_at							Hs.232151						
74128_g_at	74128_g_at	AI692604					74128_g_at							Hs.232151						
74129_at	74129_at	AI990106					74129_at							Hs.389443						
74131_at	74131_at	AI989784					74131_at													
74133_r_at	74133_r_at	AI927838	AAH23602		NM_024648		74133_r_at		79701				23270831	Hs.54558						
74135_r_at	74135_r_at	AI927912	Q9UN29		NM_014376		74135_r_at		26999				5616320	Hs.258503		606323				
74137_at	74137_at	AI874245					74137_at													
74139_at	74139_at	AI990850	Q8ND71				74139_at		155038					Hs.95834						
74141_at	74141_at	AI968146					74141_at							Hs.311412						
74143_at	74143_at	AI989615					74143_at							Hs.270793						
74145_at	74145_at	AA527398					74145_at													
74146_at	74146_at	AA587459					74146_at							Hs.284252						
74148_at	74148_at	AI978929	Q9HAE0		NM_024891		74148_at		79951				13376343	Hs.232167	ENSG00000167279					
74150_at	74150_at	AW006418					74150_at							Hs.232168						
74153_r_at	74153_r_at	AI039933					74153_r_at							Hs.346203						
74154_at	74154_at	AI074002	Q8N264	d2ngrb_	NM_031305	RhoGAP	74154_at		83478	IPR000198	IPB000198		21749509	Hs.93589	ENSG00000138639					
74156_at	74156_at	AI968838					74156_at							Hs.232174						
74157_at	74157_at	AI969267					74157_at							Hs.232175						
74160_at	74160_at	AI208184					74160_at							Hs.232176						
74162_r_at	74162_r_at	AI208691					74162_r_at							Hs.370361						
74164_at	74164_at	AW007202					74164_at													
74166_at	74166_at	AI201958					74166_at							Hs.416135						
74167_at	74167_at	AW005253					74167_at							Hs.232180						
74169_r_at	74169_r_at	AW015688					74169_r_at							Hs.370483						
74171_at	74171_at	AW000924					74171_at													
74173_r_at	74173_r_at	AW005005	Q13637	d1c1ya_	NM_006834	ras	1416527_at		10981	IPR003579	IPB002041		1388197	Hs.32217	ENSG00000118508					
74175_at	74175_at	AI357143					74175_at							Hs.232184						
74177_at	74177_at	AW005902					74177_at							Hs.232185						
74180_at	74180_at	AI372069					74180_at							Hs.7847						
74181_at	74181_at	AI923204	Q9H8L4		NM_024706	zf-C2H2	74181_at		79759	IPR000822	IPB002853		24432013	Hs.102928	ENSG00000167394					
74183_at	74183_at	AI971369					74183_at							Hs.370360						
74186_at	74186_at	AI434594					74186_at							Hs.433444						
74188_at	74188_at	AI476435	BAC22636				74188_at							Hs.376489						
74190_g_at	74190_g_at	AI476435	BAC22636				74190_g_at							Hs.376489						
74192_at	74192_at	AI986322	Q92832		NM_006157	vwc	U48246_at		4745	IPR003129	IPB001271		5453764	Hs.21602	ENSG00000165973	602319				
74194_at	74194_at	AI480024					74194_at							Hs.370436						
74196_at	74196_at	AW005737					74196_at							Hs.372008						
74198_at	74198_at	AW002964					74198_at							Hs.232193						
74200_r_at	74200_r_at	AI632171					74200_r_at							Hs.232194						
74203_at	74203_at	AI633769	Q9H264				74203_at		889	IPR002110				Hs.93810	ENSG00000001631	604214				
74205_r_at	74205_r_at	AI634039					74205_r_at													
74207_at	74207_at	AI651729					74207_at							Hs.232197						
74209_at	74209_at	AI656013					74209_at							Hs.232199						
74210_at	74210_at	AI656285					74210_at							Hs.148468						
74212_at	74212_at	AI762050	Q07092		NM_001856	TSPN	74212_at		1307	IPR003129	IPB001442		728997	Hs.26208	ENSG00000084636	120326				
74214_at	74214_at	AI985270	Q9P2F1				74214_at		57573	IPR001909				Hs.230188	ENSG00000166768					
74216_at	74216_at	AI989618					74216_at							Hs.232204						
74218_at	74218_at	AI990680					74218_at							Hs.232206						
74220_at	74220_at	AI969843	Q8NAX4				74220_at							Hs.350945						
74222_at	74222_at	AL042467					74222_at							Hs.224212						
74224_at	74224_at	AI951672	Q8TAM0				74224_at		118442	IPR000276				Hs.232213		606917				
74227_at	74227_at	AI953717					74227_at							Hs.232214						
74228_at	74228_at	AI962220					74228_at													
74230_r_at	74230_r_at	R44187					74230_r_at							Hs.379135						
74231_at	74231_at	AW009213					74231_at							Hs.404538						
74233_i_at	74233_i_at	AA758402					74233_i_at							Hs.304837						
74235_r_at	74235_r_at	AA758402					74235_r_at							Hs.304837						
74237_f_at	74237_f_at	AI989432					74237_f_at													
74238_r_at	74238_r_at	AI989432					74238_r_at													
74240_at	74240_at	AA873632					74240_at							Hs.370407						
74242_at	74242_at	AI081980	BAC11497		NM_012140	mito_carr	74242_at		1468	IPR002030	IPB001993		6179584	Hs.285829		606794				
74244_r_at	74244_r_at	AI972040	Q9UBX3		NM_012140	mito_carr	74244_r_at		1468	IPR002030	IPB001993		6179584	Hs.285829		606794				
74247_at	74247_at	AI126222	Q9NXL8		NM_017697	rrm	74247_at		54845	IPR003955			8923167	Hs.24743	ENSG00000104413					
74248_at	74248_at	AW005374					74248_at													
74251_at	74251_at	AI201741	Q9P2H1				74251_at		57561					Hs.24684	ENSG00000113369					
74254_f_at	74254_f_at	AW006018	Q9HCU9		NM_015399		171171_r_at		25855				19527392	Hs.100426	ENSG00000174744	606259				
74256_r_at	74256_r_at	AW024281					74256_r_at							Hs.370794						
74258_at	74258_at	AI360361					74258_at							Hs.387343						
74260_r_at	74260_r_at	AI380807					74260_r_at							Hs.179481						
74261_at	74261_at	AI422667					74261_at													
74263_at	74263_at	AW001726					74263_at							Hs.232256						
74265_at	74265_at	AI523857	Q8N8W1				74265_at							Hs.232257						
74267_at	74267_at	AI580349					74267_at							Hs.411792						
74269_at	74269_at	AI652011					74269_at							Hs.232263						
74271_at	74271_at	AI681625	Q8N341				74271_at							Hs.232265						
74273_at	74273_at	AW016837					74273_at							Hs.388560						
74275_at	74275_at	AI971773					74275_at							Hs.232268						
74277_at	74277_at	AI745458					74277_at							Hs.232270						
74279_at	74279_at	AW021430	Q96FV7	d1ycsb2	NM_014824	SH3	74279_at		9873	IPR001452	PR00499		7662296	Hs.19056	ENSG00000137478					
74281_at	74281_at	AI766301					74281_at							Hs.232272						
74282_at	74282_at	AW005199					74282_at							Hs.370438						
74284_at	74284_at	AI934948					74284_at							Hs.370829						
74286_at	74286_at	AI968018					74286_at							Hs.232283						
74289_at	74289_at	AW009668					74289_at							Hs.293799						
74290_at	74290_at	AI968264					74290_at							Hs.232286						
74292_at	74292_at	AI954605					74292_at							Hs.283533						
74294_at	74294_at	AI967993					74294_at							Hs.232289						
74296_at	74296_at	AW016037	O43162		NM_014801		74296_at		9845				18676504	Hs.31438	ENSG00000135749					
74299_at	74299_at	AI983303	Q9Y253	d1im4a_	NM_006502	IMS	74299_at		5429	IPR001126	IPB001126		5729982	Hs.155573	ENSG00000170734	603968				
74301_at	74301_at	AI984740					74301_at							Hs.232543						
74303_at	74303_at	AW020549					74303_at							Hs.232570						
74304_at	74304_at	AI986404					74304_at							Hs.232604						
74307_at	74307_at	AI992075	Q8NBG8		NM_139244		U92072_at		134957				21748731	Hs.184319		604586				
74309_at	74309_at	AW052159					74309_at							Hs.232708						
74311_at	74311_at	AW024552					74311_at							Hs.233022						
74313_at	74313_at	AW003010	Q9HA16		NM_024597		74313_at		79649	IPR000515			13375795	Hs.432506						
74314_at	74314_at	AI341937					74314_at													
74317_at	74317_at	AI969355					74317_at							Hs.233283						
74319_at	74319_at	AI218377	Q9NXF3		NM_139196	ST7	74319_at		54879				21264625	Hs.293483	ENSG00000007341					
74320_r_at	74320_r_at	AW025958	Q8TDW4		NM_139196	ST7	74320_r_at		54879				21264625	Hs.293483	ENSG00000007341					
74322_s_at	74322_s_at	AA724785	AAN06673		NM_018398	Cache	98300_at			IPR002035			8923765	Hs.130212	ENSG00000157445	606399				
74324_r_at	74324_r_at	AA724785					74324_r_at							Hs.130212						
74326_at	74326_at	AI990635					74326_at							Hs.130212						
74328_f_at	74328_f_at	AW026528					74328_f_at													
74331_r_at	74331_r_at	AW026528					74331_r_at													
74334_at	74334_at	AI681829					74334_at							Hs.163111						
74336_at	74336_at	AW026718					74336_at							Hs.389511						
74337_at	74337_at	AW003278					74337_at							Hs.233306						
74339_at	74339_at	AI761357	Q14451	d1jwoa_	NM_005310	SH2	74339_at		2886	IPR001849	PR00401		4885355	Hs.86859	ENSG00000141738	601522				
74340_at	74340_at	AI978650					74340_at							Hs.389426						
74342_at	74342_at	AI828042	Q8NF72				74342_at							Hs.377631						
74345_g_at	74345_g_at	AI828042	O15206				74345_g_at		8632	IPR004273				Hs.144672						
74347_at	74347_at	AI979086	Q8TA85	d1byra_	NM_024419	PLDc	74347_at		9489	IPR001736			21314624	Hs.162604	ENSG00000087157					
74349_at	74349_at	AL042126	Q9HD26	d1qava_	NM_020399	PDZ	1421191_s_at		57120	IPR000408	IPB001478		9966877	Hs.23120	ENSG00000047932	606845				
74351_at	74351_at	AI968185	Q96S62		NM_172028	ank	74351_at		80325	IPR002110			14211841	Hs.107812						
74353_r_at	74353_r_at	AW007241	Q9P263				74353_r_at		57611	IPR003592				Hs.233335	ENSG00000167178					
74354_at	74354_at	AI982590					74354_at							Hs.233336						
74356_r_at	74356_r_at	AI653715					74356_r_at													
74357_at	74357_at	AW024147	Q92664		NM_002097	zf-C2H2	rc_AI236565_at		2971	IPR000822	IPB000822		4753159	Hs.75113	ENSG00000122034	600860				
74359_at	74359_at	H88827					74359_at							Hs.233343						
